iter	Passed	Remaining
203	6676	9687
204	6693	9632
205	6710	9576
206	6727	9523
207	6748	9473
208	6764	9418
209	6780	9364
210	6798	9312
211	6816	9259
212	6834	9209
213	6851	9157
214	6871	9109
215	6890	9059
216	6906	9007
217	6923	8955
218	6940	8905
219	6958	8856
220	6979	8811
221	6996	8761
222	7015	8714
223	7035	8668
224	7053	8621
225	7073	8575
226	7089	8526
227	7108	8480
228	7125	8432
229	7142	8384
230	7159	8337
231	7177	8291
232	7193	8243
233	7211	8197
234	7231	8154
235	7251	8112
236	7267	8065
237	7284	8019
238	7300	7972
239	7319	7929
240	7337	7885
241	7353	7839
242	7371	7796
243	7389	7752
244	7407	7709
245	7423	7664
246	7442	7623
247	7456	7576
248	7471	7531
249	7487	7487
250	7505	7445
251	7522	7403
252	7539	7360
253	7558	7320
254	7575	7278
255	7592	7236
256	7609	7195
257	7625	7152
258	7644	7113
259	7661	7072
260	7676	7029
261	7694	6989
262	7709	6947
263	7725	6905
264	7740	6864
265	7758	6824
266	7776	6785
267	7792	6745
268	7810	6706
269	7825	6666
270	7842	6626
271	7859	6588
272	7878	6551
273	7897	6513
274	7916	6476
275	7933	6439
276	7951	6401
277	7967	6362
278	7985	6325
279	8000	6286
280	8019	6250
281	8036	6212
282	8054	6175
283	8071	6138
284	8087	6100
285	8105	6064
286	8120	6026
287	8136	5989
288	8152	5951
289	8168	5914
290	8184	5878
291	8202	5842
292	8216	5805
293	8233	5769
294	8249	5732
295	8266	5696
296	8282	5660
297	8299	5625
298	8316	5590
299	8335	5556
300	8351	5521
301	8368	5486
302	8385	5451
303	8401	5416
304	8416	5381
305	8433	5346
306	8451	5312
307	8468	5279
308	8485	5244
309	8501	5210
310	8518	5176
311	8535	5143
312	8553	5110
313	8570	5076
314	8586	5042
315	8603	5009
316	8617	4974
317	8636	4943
318	8653	4909
319	8669	4876
320	8686	4843
321	8703	4811
322	8721	4779
323	8739	4747
324	8758	4716
325	8777	4684
326	8794	4652
327	8809	4619
328	8827	4588
329	8846	4557
330	8863	4525
331	8880	4493
332	8894	4460
333	8909	4427
334	8925	4396
335	8943	4365
336	8960	4333
337	8979	4303
338	8996	4272
339	9014	4242
340	9031	4211
341	9047	4180
342	9066	4150
343	9082	4118
344	9101	4088
345	9126	4062
346	9143	4031
347	9159	4000
348	9177	3970
349	9196	3941
350	9213	3911
351	9229	3880
352	9246	3850
353	9262	3820
354	9279	3790
355	9297	3760
356	9313	3730
357	9330	3700
358	9345	3670
359	9362	3641
360	9381	3612
361	9398	3582
362	9415	3553
363	9432	3524
364	9450	3495
365	9467	3466
366	9485	3437
367	9501	3408
368	9517	3378
369	9533	3349
370	9550	3320
371	9572	3293
372	9588	3264
373	9604	3235
374	9622	3207
375	9643	3180
376	9660	3151
377	9677	3123
378	9693	3094
379	9709	3066
380	9728	3038
381	9748	3011
382	9769	2984
383	9785	2956
384	9802	2927
385	9819	2900
386	9836	2872
387	9855	2844
388	9875	2817
389	9893	2790
390	9910	2762
391	9926	2734
392	9943	2707
393	9961	2680
394	9984	2653
395	10003	2627
396	10031	2602
397	10048	2575
398	10064	2547
399	10083	2520
400	10104	2494
401	10127	2468
402	10147	2442
403	10169	2416
404	10189	2390
405	10208	2363
406	10228	2337
407	10247	2310
408	10266	2284
409	10287	2258
410	10303	2231
411	10320	2204
412	10341	2178
413	10358	2151
414	10373	2124
415	10386	2097
416	10400	2070
417	10415	2043
418	10430	2016
419	10446	1989
420	10461	1963
421	10476	1936
422	10492	1910
423	10513	1884
424	10533	1858
425	10562	1834
426	10589	1810
427	10607	1784
428	10629	1759
429	10644	1732
430	10661	1706
431	10677	1680
432	10694	1654
433	10713	1629
434	10728	1603
435	10743	1577
436	10758	1551
437	10774	1525
438	10788	1499
439	10802	1473
440	10814	1446
441	10827	1420
442	10839	1394
443	10852	1368
444	10863	1342
445	10877	1316
446	10890	1291
447	10903	1265
448	10916	1239
449	10929	1214
450	10945	1189
451	10959	1163
452	10973	1138
453	10988	1113
454	11002	1088
455	11015	1062
456	11030	1037
457	11045	1012
458	11058	987
459	11073	962
460	11086	937
461	11100	913
462	11115	888
463	11128	863
464	11140	838
465	11149	813
466	11160	788
467	11167	763
468	11176	738
469	11184	713
470	11191	689
471	11196	664
472	11201	639
473	11207	614
474	11212	590
475	11217	565
476	11222	541
477	11226	516
478	11230	492
479	11235	468
480	11239	443
481	11244	419
482	11248	395
483	11253	372
484	11257	348
485	11262	324
486	11266	300
487	11270	277
488	11275	253
489	11280	230
490	11284	206
491	11288	183
492	11293	160
493	11297	137
494	11301	114
495	11306	91
496	11310	68
497	11315	45
498	11319	22
499	11324	0
