iter	MultiClass
0	1.767196999
1	1.749142835
2	1.71719848133	1.69573487644	1.67403774255	1.65227361466	1.633322817	7	1.618569778	8	1.5987730699	1.581789325110	1.56679187711	1.560813731
112	1.538280219113	1.522578641114	1.507372004115	1.493307666116	1.478794911717	1.465992985
18	1.454692949
19	1.442858205
20	1.431387742
21	1.418748314
22	1.407797951
23	1.396394566
24	1.386279268
25	1.374599204
26	1.366549147
27	1.354698298
28	1.346088145
29	1.336796025
30	1.328312475
31	1.317567092
32	1.309132513333	1.298648923434	1.2910984735	1.293269385
36	1.285849846
37	1.277970832
38	1.26998643
39	1.263364708
40	1.253762866
41	1.246902838
42	1.240621648
43	1.23276835
44	1.225981407
45	1.218717732
46	1.211124765
47	1.204256013
48	1.196614321
49	1.191322849
50	1.185392806
51	1.178763549
52	1.172805867
53	1.166642063
54	1.160706945
55	1.155212098
56	1.149809726
57	1.145808779
58	1.140728345
59	1.133832756
60	1.128560885
61	1.122643352
62	1.119833856
63	1.114577095
64	1.109546393
65	1.106158021
66	1.101586067
67	1.096913313
68	1.091711819
69	1.08633155
70	1.08201432
71	1.077316611
72	1.071487175
73	1.066685228
74	1.063167343
75	1.059625679
76	1.05432531
77	1.049903308
78	1.045092845
79	1.040091038
80	1.035188573
81	1.03064274
82	1.02794055
83	1.023238182
84	1.018943433
85	1.015061474
86	1.011192452
87	1.007274149
88	1.00217757
89	0.9981285701
90	0.9935199325
91	0.9890802506
92	0.9858121053
93	0.982639758
94	0.9784292879
95	0.9745572432
96	0.9714948912
97	0.9666962582
98	0.963353003
99	0.9603011094
100	0.956427901
101	0.9532711139
102	0.950398805
103	0.94658063
104	0.9439741035
105	0.9395898801
106	0.9360934052
107	0.9325570201
108	0.9301761454
109	0.9265760638
110	0.923828825
111	0.9214761378
112	0.9191135256
113	0.9156742212
114	0.9133482326
115	0.9098738591
116	0.90698623
117	0.905105079
118	0.9022535974
119	0.8985128529
120	0.8955693024
121	0.8937826465
122	0.8915060324
123	0.8884884624
124	0.8859532311
125	0.8829020821
126	0.8808828955
127	0.8778908747
128	0.8750079719
129	0.8731297019
130	0.8698720747
131	0.8676251213
132	0.864833839
133	0.8630119577
134	0.8603167285
135	0.8583250757
136	0.8556544419
137	0.8539503109
138	0.8512158185
139	0.8490764645
140	0.8461839168
141	0.8436741886
142	0.8408552278
143	0.8380419123
144	0.8357664994
145	0.8334491962
146	0.8316773919
147	0.8291412347
148	0.8274542082
149	0.8249291941
150	0.8233576018
151	0.8204320589
152	0.8174615226
153	0.8147784805
154	0.8117831823
155	0.8094910698
156	0.8072825161
157	0.8051960397
158	0.8027907715
159	0.79989338
160	0.7977106654
161	0.7953244717
162	0.7932840434
163	0.7913558959
164	0.7892123927
165	0.785824948
166	0.7832767782
167	0.780842505
168	0.778681748
169	0.7761330163
170	0.7738947867
171	0.7710095878
172	0.769442423
173	0.7669984882
174	0.7649366909
175	0.7628017998
176	0.7599780844
177	0.7572848506
178	0.7551171931
179	0.7529753681
180	0.7503228802
181	0.7473699919
182	0.7458237281
183	0.7428803527
184	0.7408967487
185	0.7386557904
186	0.7370093561
187	0.7355644884
188	0.7333830506
189	0.7308150992
190	0.728422786
191	0.7266632411
192	0.7238586567
193	0.7215471619
194	0.7189401823
195	0.7163569545
196	0.714525439
197	0.7118912021
198	0.7101190941
199	0.7081837955
200	0.7065658897
201	0.7041742887
202	0.7020369755
203	0.6996328773
204	0.6977224502
205	0.6955966861
206	0.69359338
207	0.6924074389
208	0.6895395618
209	0.6880679665
210	0.6868346256
211	0.6850266947
212	0.6831155853
213	0.6819193954
214	0.6801747441
215	0.6784586573
216	0.6771436997
217	0.6748552183
218	0.6720801072
219	0.670311186
220	0.6686859055
221	0.6668703271
222	0.6649430361
223	0.6637655283
224	0.6617116948
225	0.6598247834
226	0.6583432161
