iter	MultiClass
227	0.6564040806
228	0.6542610541
229	0.6523024843
230	0.6499813084
231	0.6482538271
232	0.6457603499
233	0.6444462832
234	0.6427192783
235	0.6408956784
236	0.6391847074
237	0.6374403271
238	0.6361215263
239	0.6352112351
240	0.634002476
241	0.6328601885
242	0.6318796301
243	0.630134275
244	0.6289844129
245	0.6273974914
246	0.6258802724
247	0.6237032573
248	0.6216341873
249	0.6201880795
250	0.6191327767
251	0.6174932993
252	0.616098408
253	0.614860745
254	0.6137145756
255	0.6127734701
256	0.611093511
257	0.6093640674
258	0.6079610193
259	0.6068284018
260	0.6062600942
261	0.6049263281
262	0.603039818
263	0.6009823504
264	0.5991006598
265	0.5972846894
266	0.5960431374
267	0.5936923391
268	0.5927252138
269	0.5914022253
270	0.589279543
271	0.5876261728
272	0.5867473993
273	0.5859014546
274	0.5847322243
275	0.5830406269
276	0.5822088221
277	0.5812842805
278	0.5803193373
279	0.5789703082
280	0.5770973418
281	0.5752248744
282	0.5739485941
283	0.5725459423
284	0.5713973431
285	0.569788749
286	0.5678593349
287	0.5664771997
288	0.5653195563
289	0.5641207846
290	0.5633205053
291	0.5613803895
292	0.5597770779
293	0.5583494629
294	0.5569557783
295	0.5553915756
296	0.5539114314
297	0.5526708277
298	0.5505612802
299	0.5492244466
300	0.5480926727
301	0.5472412437
302	0.5468166198
303	0.5452918912
304	0.5432092961
305	0.5422499939
306	0.5415316217
307	0.5395835096
308	0.5385965253
309	0.5372702565
310	0.5359660555
311	0.5350783778
312	0.5342287675
313	0.5331144819
314	0.5316007677
315	0.5304357688
316	0.5295658501
317	0.5278247533
318	0.526837934
319	0.5259166721
320	0.5252583385
321	0.5239967901
322	0.5227918535
323	0.5215790732
324	0.5209318237
325	0.5197308337
326	0.5185326621
327	0.517674125
328	0.5169904291
329	0.5161135661
330	0.5149214758
331	0.5141964719
332	0.5133837631
333	0.5125679282
334	0.5122082511
335	0.5112514846
336	0.509823521
337	0.5088352979
338	0.5079149836
339	0.5068641957
340	0.5058407069
341	0.5045978073
342	0.5037246447
343	0.5031516926
344	0.5019611426
345	0.5009696338
346	0.4995937175
347	0.4986891637
348	0.4977836358
349	0.4969761872
350	0.4960019825
351	0.4948505129
352	0.4937072295
353	0.4930850525
354	0.4917272795
355	0.4907324532
356	0.4891788079
357	0.4880868403
358	0.4871799766
359	0.4859953127
360	0.4843751643
361	0.4835314696
362	0.4826017583
363	0.4812705617
364	0.4802139252
365	0.4789543361
366	0.4779848878
367	0.4771716979
368	0.4765946809
369	0.4757052077
370	0.4743109387
371	0.4736940244
372	0.47258067
373	0.4718104437
374	0.4703137071
375	0.4697278082
376	0.4684493868
377	0.4670514243
378	0.4657804832
379	0.4644547945
380	0.4635143967
381	0.4625006194
382	0.4613658998
383	0.4601827602
384	0.4590968267
385	0.4581217927
386	0.4576878675
387	0.4565028221
388	0.4553881954
389	0.4541867324
390	0.4532645499
391	0.4521811609
392	0.4517954026
393	0.4508184834
394	0.4501435565
395	0.4493446782
396	0.448278785
397	0.4473814376
398	0.4467620183
399	0.4457031491
400	0.4442134295
401	0.443073644
402	0.4421855342
403	0.4414523101
404	0.4405130745
405	0.4396867847
406	0.4390091264
407	0.438228607
408	0.4375917606
409	0.4370757216
410	0.4365320511
411	0.4355147564
412	0.4346806854
413	0.4342758314
414	0.4337780319
415	0.4331262845
416	0.4321576611
417	0.4306776605
418	0.4297790173
419	0.4291846055
420	0.4283959556
421	0.4274978509
422	0.4267960244
423	0.4257163526
424	0.4253748284
425	0.4249847161
426	0.4243331313
427	0.4235944026
428	0.4225934436
429	0.4220443207
430	0.4212539955
431	0.4205158074
432	0.4196447713
433	0.418862832
434	0.4176982151
435	0.4170067819
436	0.4164446665
437	0.4159049975
438	0.4148482952
439	0.4141284958
440	0.4132815235
441	0.412657775
442	0.4115870197
443	0.410697004
444	0.4094253682
445	0.4089914706
446	0.4080152931
447	0.40727069
448	0.4066366755
449	0.4058062087
450	0.405082339
451	0.4046330496
452	0.4037684167
453	0.4029744117
454	0.4019407927
455	0.4008100527
456	0.3996332705
457	0.3988281531
458	0.3980779385
459	0.3977837331
460	0.3969847032
461	0.3962713765
462	0.3954594636
463	0.394691075
464	0.3937069694
465	0.3931465771
466	0.3923071042
467	0.3919235231
468	0.3910676886
469	0.389936476
470	0.3890946122
471	0.3887726308
472	0.3880619511
473	0.38738834
474	0.386687827
475	0.3860105021
476	0.3853304316
477	0.3847522094
478	0.3842698052
479	0.3836745507
480	0.3830487045
481	0.3822985077
482	0.3810444736
483	0.3801412
484	0.3788313456
485	0.3779545867
486	0.3770336676
487	0.3768032739
488	0.3758552452
489	0.3754416484
490	0.3751580757
491	0.3744045101
492	0.3738305829
493	0.3730721692
494	0.3725209723
495	0.3720514882
496	0.3717617741
497	0.3711125105
498	0.3700298785
499	0.3696358055
61352
7494
